review_id;text;stars;user_id;business_id
l2BK7-e57FXzahI9jf-XvQ;My recent visit to Paris in January 2024 was an unforgettable culinary journey, and at the heart of it all was the enchanting Le Comptoir de la Gastronomie....;5;XijDBDDlF8w6RRb0FUwZSQ;-0iLH7iQNYtoURciDpJf6w
2Txb3Nuy3lvVOuEdODYqww;Even though end of January, the weather was unusually nice so I decided to sit outside and watch the people and traffic go while I enjoyed my meal....;5;7f9rR9HmympqVZVZRRevtg;-0iLH7iQNYtoURciDpJf6w
gvN9xSQlQC_hVyXHXrHJvw;"Nice to get in without a reservation. I was ticking off my list of things I wanted to eat in Paris and Cassoulet was one. 

I sat at the bar. The service...";4;zrE8xLdoH5fPjPb_VdXuEg;-0iLH7iQNYtoURciDpJf6w
hl__O5HPvf53L_NCf8HWfg;"My absolute favorite spot from my recent Paris trip! It 100% lives up to the hype and I'd highly recommend carving out time to dine here. 

My friend and I...";5;idMjVjt9WSkeNvfI39TGOA;ijqSzadlZ9SCXvUEpMimcA
R3fK_FoaoOIf466VmRJ0Bg;"Yall, the breakfast here was okay. If you're coming just for the hot chocolate, it's not as pretty or impressive as Carrette. 
Carrette wins in the hot...";3;HXe_xXyN2gQP8ivVl9_Zcg;ijqSzadlZ9SCXvUEpMimcA
Jww4S3KTRjyJ4cYTi-CUug;"Angelinas is known for their world famous hot chocolate and signature mont blanc. 

we ordered:
*old fashioned hot chocolate $12
*signature mont-blanc...";3;uXE4-vfzeD3CtWe2tMd1ng;ijqSzadlZ9SCXvUEpMimcA
5tBv0ITFq83iDnK9-MsZ1Q;Merci bién  super pro max case you want to do you need me to bring anything for the team to wo nhi ha ha ha ha;5;cjob8-6R4T-1AqSt-pFwFQ;KggnM_Z4wOa_JExunaaWHg
ITFygfy_jeddR5mIvE9UIw;"You guys, my first review of this place is 5+ years ago and I've been back as many times. It's a bittersweet place because it's my ""last night"" dinner....";5;PLOYtrCMUFPHQe2IbYAd5g;KggnM_Z4wOa_JExunaaWHg
TWTjzcZuX-S2w9-CuP4S_g;Definitely a great atmosphere with wonderful staff. The food was good. A bit underwhelming. We had the French onion soup which was OK. Not a great amount of...;3;RgihRZ2_z0MyB5KFzV0Y1A;KggnM_Z4wOa_JExunaaWHg
WiSWp2PnMqvPyNMkH9n-rQ;I'm staying in the area and was sitting at a cafe looking for a place for dinner and saw my old CM  Blue A was here and gave it a good review. So I said  to...;5;t4UC_qZT0fhKvKfNYVeDaw;cEjF41ZQB8-SST8cd3EsEw
-c2VUFxZjN297DIzf4yADQ;I can't help but share my incredible experience at L'Avant Comptoir - it was so nice that I visited twice during my stay in Paris. This charming stand-up,...;5;8u2A_YA0Nn5OBe1C7HViDA;cEjF41ZQB8-SST8cd3EsEw
wQOjKtux9yZ3NXatehvTXg;This place was how we say in the States!! OFF THE CHAIN GOOD!!! Highly recommended to try!;5;WymV1IXcNMAD82ORAzH3XA;cEjF41ZQB8-SST8cd3EsEw
-cmwZbioqIb0fsHuXz_umA;Can't believe I didn't write the review for this place from the Paris trip!!! Anyhow... I still remember my time here. So let's begin. Came to Paris after...;5;97ZsoydQYxhmQ-XnsxbDog;ctP4c3mwVO5oOzLI48LtuQ
EYCr_K2JFakskBDnDFWDog;Les Antiquaires Restaurant Français is a lovely establishment located in France. The ambiance is charming with a traditional French feel, complete with...;5;C-go7ezWzqVZwz8Hf8T3kg;ctP4c3mwVO5oOzLI48LtuQ
DxP_qdYhXlzIAbkylm9-Tw;Tonight was our second time dining here. It was a busy Sunday evening, but they found a spot for us. The service was impeccable, any concerns about our...;5;FydEoEqNc9vvYU9sQUdoGQ;ctP4c3mwVO5oOzLI48LtuQ
KBy8WNIU7T2BrRJ2qmCtaA;"After so many TikTok reviews, we had to check it out but were nervous that it would be overhyped. Guys, this place is definitely worth the hype. 

We made...";5;LVws1JAppo1t9mKc3BjKxg;ZpVf9wbJMKAogWgJhcMqZg
4LfiBWPuYhWmXsKrzpNQHA;Online resy only made 15 days in advance and I highly recommend making one for 12pm when they first open as they will try to seat you on the top floor! The...;4;QOapFul_-FYbqkk7180rIQ;ZpVf9wbJMKAogWgJhcMqZg
bJgihOdJRg9NOYUhfMr_bw;"Book a reservation early!! When you arrive, there are two lines. One line for reservations and one line for walk ins. 

Every floor is decorated very...";5;yEjCtfs8fsrN4yb0eZfvNw;ZpVf9wbJMKAogWgJhcMqZg
vjECru1E4hQ26RI1XAZs9w;Top of my Paris Bucket List and 2nd dinner of the trip. It did not disappoint. It's in the Champ de Mars area near the Eiffel Tower and is the...;5;1Fdk2kQAJtxIvISC58qZiA;DwZsEW-rBrBBLHioGdKoAg
u5C8c54lBBJHu_j8mDHGwA;The host accommodated us by phone for same day during peak hour and was so nice to do so since they are packed all hours even to the last hour. We are...;5;I-FmdvI28N7OIIt4JZOgIg;DwZsEW-rBrBBLHioGdKoAg
x9mohcsydS7k_nOr6TeUhA;"La Fontaine de Mars is an absolute gem in Paris!
The Duck Confit is a masterpiece, with irresistibly crispy skin and tender meat that's bursting with...";5;JOSCkVMZ53-wybWXukNvQw;DwZsEW-rBrBBLHioGdKoAg
IUZpI9sxvFYAAMEzEAemMg;"Took awhile to get here, from Av. des Champs-Elysees.

We missed our 4pm reservation yesterday, due to delayed flights, we opted for another scheduled...";4;1JtMIzIAvap9ZA-yBeKT9g;sFdV05m6Pw5Rw6DdrpQlIw
EZzLbtwOWjSpCkW2f6ec5g;This was literally the first restaurant we headed to after dropping our luggages off in our hotel room. Unfortunately, this place isn't all that good as its...;2;UGOjCCpSFFZkQZoLh5MRjA;sFdV05m6Pw5Rw6DdrpQlIw
Y9XSKfgGDsYDL8o04P1cZQ;Was expecting more from this place given that it's a super popular restaurant, but I was a bit disappointed by my meal on both the service and food front,...;3;epPsJevS8chv-tvxYDCSew;sFdV05m6Pw5Rw6DdrpQlIw
Fa0JKr1Pxztt2j3E1iTrLg;I really wanted to eat here while we were in Paris because my partner LOVES soufflé dessert, but he is not so keen on it for every course of his meal....;5;sXinICmflHaXlWKq3Oe19A;ZxtU74SJMRoB8ZQXWwNtRQ
7ztEnJ2b5MbPzIxmTts_1w;Can't go to Paris without having some soufflé right? My friend had been to Paris recently and highly recommended Le Soufflé. Made a reservation two weeks...;5;aXuxyyTDs5RGoFrhajPLYg;ZxtU74SJMRoB8ZQXWwNtRQ
E3HstrHhQTdZi-Ix6rHuLA;"We are so lucky that we got our table due to someone canceled their reservation. ^^,
We ordered two $40 set and one individual soufflé. The ham and cheese...";4;gve_KdEbAZ0EIgShDFMgvA;ZxtU74SJMRoB8ZQXWwNtRQ
4Mqm5UN_U0MaDyaS6xmSIQ;Let's all say it together.  The service and food are amazing.  We were treated to a spectacular meal during our stay in Paris.  I can't say enough about how...;5;XallbnjTzmNzQG9YXnEuAw;_qACPRqSQ6Nvd20H8EY3uw
nkdz-jo5nwVBabTAawzvXA;Really nice ambience.. nice, casual, yet upscale feel. We sat at the bar so could see all of the intricate food prep! All of the dishes were beautifully...;5;5E5GdSqmj6u8_HJDIx5CfQ;_qACPRqSQ6Nvd20H8EY3uw
I7VJL2_bLhhq4RyTPMdIMA;Made a reservation online about three weeks out and came for dinner in August 2023. Won't go too much into detail because the menu rotates, but the 5-course...;5;HVQKFDi-vZbawtmLMq3ZOw;_qACPRqSQ6Nvd20H8EY3uw
rDtFWVzko0_oevbn-lQkIA;It's very modern inside and beautiful. The staff were amazingly friendly. Absolutely everyone greeted me and even the Chef came over, although I didn't know...;5;zrE8xLdoH5fPjPb_VdXuEg;NzeX7PR81NRNA0O2Kz-YUQ
v3UIUEvsKhVUBkXCunc7tQ;Amazing. Such a great experience. We made a reservation for right when dinner started and did the tasting menu. It's an open kitchen concept so it was...;5;6HR-WUqKP4iluiywYoGVfQ;NzeX7PR81NRNA0O2Kz-YUQ
hZfv_q6kK9H6PF7sE-0NFg;Everything was excellent about this place. The ambiance is very French-modern, upscale and chic. I first came with my family and before leaving, I had to...;5;sPVld7MIhobmRfxHUTz_uw;NzeX7PR81NRNA0O2Kz-YUQ
1EjZnmNKDpEpV5-FXyx_mA;Shockingly Parisian in the best way possible, our meal at Les Papilles was a seasonal selection of delight after delight! Just walking in the restaurant...;5;b8aCjlTJDA0hoZLMAE-iLg;4UO8M5flLUR5-TxGdSma0Q
2d4ALDGnKpUO8gZQT6bDgg;If I had dreams of owning a restaurant this would be the style and ambiance and quality of wine and food I would strive for. Bravo for a wonderfully...;5;HFmMg6R2zmUIYEugy32xlw;4UO8M5flLUR5-TxGdSma0Q
qPCaFn5KJ8XdcSEJlxvu7w;You know it's made for tourists when there's English on the menu. I would say it's a decent restaurant and beautifully decorated. The outdoor seating area...;4;AaUWmoxuoQYWfnoNTsFnaw;4UO8M5flLUR5-TxGdSma0Q
38CQUaDgOLBYeno1ctGqSg;"Crazy good.

Amazing service.  Went beyond our expectations.

Beautiful surroundings...fresh flowers, dim lighting,...even a rose petal heart in the middle...";5;iCKdtLAXvvhzzVXcsqt_yQ;hiqQTVdbpcQtgCqu2M6PqQ
Wf2yMbaBF6uHCXk_c5m-lg;The best Michelin star restaurant I have been to. We booked well in advance and were surprised to learn that three of the restaurants at the Four Seasons...;5;FioLaYVabxo4HnL5N5DkyA;hiqQTVdbpcQtgCqu2M6PqQ
nu08FsNlqMBGlfcedD_s_A;"Fantastic experience. The level of service is astonishing. They provided a cushioned ottoman for my wife's bag to sit on!

The dining room is beautiful....";5;5qhlMMo7S3q3sBqXYCO2LA;hiqQTVdbpcQtgCqu2M6PqQ
WMRKQUUR3BmjV_EZg7zVfw;"this is for a review from 2019, this place is perfect. would recommend 100%. prices are great, food is astounding.

and i never leave reviews.";5;MUr0gTj7hQhG1DHux2hqZA;WHHt_Jb8Tgidn9mW7oDnIg
SZYP_sWv_G4yOvy9K1CEag;"Looks like this location is now called Restaurant Marcel 16:

http://www.restaurantmarcel.fr/";1;L1-L9W5k04xLdkL7XuSHaA;WHHt_Jb8Tgidn9mW7oDnIg
P2WEJlhrMCqdUbDEY5vLmQ;It closed three years ago.  We walked all over looking for it only to be told it closed.   Another reason I didn't like Paris.  The people in the spot told...;1;9cPSIY7fvmVdcqcet1tixg;WHHt_Jb8Tgidn9mW7oDnIg
iyQ_Ujr6GSvKyyNvcK7x5A;A must do local experience ! We have been there twice ! Fabulous experience . Great service , menu , and wine .;5;3IVqAT8SMFa9ohBsvbPiag;-tqQsTz6TwJWiqvMWvXIEA
PjbyX1UHkUYDay5sQ3gwhQ;The interior was very snug. Staff was super friendly but service was a tad slow. Every dish was good but nothing was exceptional. Maybe we hyped ourselves a...;3;jqMeJvVSiI63aUHNhn8Dlw;-tqQsTz6TwJWiqvMWvXIEA
6XM7NJYrR6M3pPpz0lJEeA;My mom and I had a lovely dinner at Le Hide last week. The staff did not speak much English and unfortunately we do not speak much French, but the service...;5;UhqOOSxQroVbG6sfTdq6Hg;-tqQsTz6TwJWiqvMWvXIEA
XzST75k143aIp8PnQmrsqQ;We had an amazing lunch here. There was a line to get in but we had a group of seven and so when they had a bigger table open up, they actually let us in...;5;TAw2tLc_osp50wRzEmVHPg;FFz-WusZrBYZexKqhqzCkg
2uOMW5NkCSnkx7rfgJ98kA;"Lines. Lines. Lines. Is it worth it? Yes.

This falafel sandwich is big and tasty and only 9€. I got take out as I'm staying very close by. The man taking...";5;zrE8xLdoH5fPjPb_VdXuEg;FFz-WusZrBYZexKqhqzCkg
Pp570uHcLKYZrm1EPk9vKA;"Came here late.
Huge crowd.

Insanity

We would go here again any time any day.

You will not be disappointed 

Later we sat on a street curb and ate the...";5;GAV37Jw3PBQ00niW6ILvTg;FFz-WusZrBYZexKqhqzCkg
UMQf_VH5sFm9HAMFZPb4rA;"So, during this most recent visit to Paris, I visited  5 different Michelin Restaurants 

Epicure
Pur
Septime
L Tour Da Argant
And Guy Savoy

I would have...";5;ZOwcoHlFYXleg4ldAaFCSw;2qzLbDM1dkpsKyyCXAEXWw
PqEjhXuulwBmj13Jh6Sy1w;They need to restore his third Michelin star ASAP!!! This was the most amazing dining experience I have had in my life. We were completely blown away. We...;5;E3DhTZ720FSb2REOec0Wyg;2qzLbDM1dkpsKyyCXAEXWw
cmcHp8JB5jbw6NRty-IwkA;"First meal of the trip and it was a good one. Review is also for lunch too but still quite expensive. 

The good
Exquisite preparation and flavors from the...";5;YqZniLami3yOXF3CSVxaFQ;2qzLbDM1dkpsKyyCXAEXWw
__vrepvwyQ2htTyh_FNcnQ;Amazing grilled meats at a very reasonable price. Loved both the duck and the entrecôte. Salad was good, snails were excellent and the potatoes and green...;5;jwxvJlG7yBzvK44n4_j0Lw;-cSK_-y04p3oVu98DShiyQ
_etTYbyvPFwWw2wIQM1_Zw;Amazing food! Intimate setting. The perfect place in a perfect Paris. Definitely making this reservation on my list again!;5;Ecg0MHAsaYM3kLbN2yUMHQ;-cSK_-y04p3oVu98DShiyQ
v9GnDZx9Cf1QtfBbTwrzUw;Best meal I've ever had. Very intimate setting as though you are inside someone's home kitchen. The place smells of a cozy wood fire. The steak was...;5;RRjkerwm86O12gmJtopXdw;-cSK_-y04p3oVu98DShiyQ
PguogKuxroaYipGF78vE1Q;Verjus has been spectacular both times my husband and I went! They were super accommodating for my allergies and being vegetarian (with advance notice)....;5;zkPe8aGGlpvDdkWLKYOK5g;3-6yc3Kbow9hnDrlIy263w
iFB-0SQ2U_dsq2LQhptJKA;We had a reservation at Verjus on the recommendation of friends from back home in California. We made the reservation weeks before our vacation to Paris....;1;JlYbIs8lOkadaI80AE1xTg;3-6yc3Kbow9hnDrlIy263w
CtBaDet8_JtMKKfIn_bTSg;Please eat ANYWHERE else in Paris but Verjus. I should have realized when there was not one single French person in the restaurant, they know better. Our...;1;l_JoIueuxefniPCFzW1Qpg;3-6yc3Kbow9hnDrlIy263w
CECYgLP05AKdIJErTG_3WQ;We sat outside and had their amazing beef tartare and french onion soup for one of our lighter lunches. This was a great way to do it and would love to come...;5;ufco-sxD9Org0AMxagNgQw;qz7R7oLeEEfvKOlWCxqMVw
